Result,Fighter,KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate
L,Zhang Mingyang,0,0,0,43,16,37,0.43243243243243246,28,51,0.5490196078431373,0,0,0.0,2,21,0.09523809523809523,13,15,0.8666666666666667,1,1,1.0,7,27,0.25925925925925924,9,10,0.9,0,0,0.0
W,Alonzo Menifield,2,0,0,107,28,52,0.5384615384615384,42,68,0.6176470588235294,0,0,0.0,26,50,0.52,0,0,0.0,2,2,1.0,23,44,0.5227272727272727,2,5,0.4,3,3,1.0
W,Sergei Pavlovich,1,0,0,5,7,9,0.7777777777777778,10,13,0.7692307692307693,0,0,0.0,7,9,0.7777777777777778,0,0,0.0,0,0,0.0,6,7,0.8571428571428571,0,0,0.0,1,2,0.5
L,Tallison Teixeira,0,0,0,0,0,4,0.0,0,4,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,2,0.0,0,4,0.0,0,0,0.0,0,0,0.0
W,Kai Asakura,1,0,0,3,9,21,0.42857142857142855,9,21,0.42857142857142855,0,0,0.0,6,17,0.35294117647058826,2,2,1.0,1,2,0.5,8,18,0.4444444444444444,0,0,0.0,1,3,0.3333333333333333
L,Cameron Smotherman,0,0,0,0,3,7,0.42857142857142855,3,7,0.42857142857142855,0,0,0.0,3,6,0.5,0,1,0.0,0,0,0.0,3,7,0.42857142857142855,0,0,0.0,0,0,0.0
W,Jake Matthews,1,0,0,570,55,96,0.5729166666666666,109,173,0.630057803468208,0,0,0.0,46,87,0.5287356321839081,9,9,1.0,0,0,0.0,49,89,0.550561797752809,0,0,0.0,6,7,0.8571428571428571
L,Carlston Harris,0,0,1,27,27,75,0.36,40,88,0.45454545454545453,0,3,0.0,12,57,0.21052631578947367,11,13,0.8461538461538461,4,5,0.8,27,75,0.36,0,0,0.0,0,0,0.0
NC,Alex Perez,0,1,0,32,9,45,0.2,22,58,0.3793103448275862,0,2,0.0,4,29,0.13793103448275862,3,11,0.2727272727272727,2,5,0.4,8,42,0.19047619047619047,1,3,0.3333333333333333,0,0,0.0
NC,Sumudaerji,1,0,0,71,26,53,0.49056603773584906,31,58,0.5344827586206896,1,2,0.5,15,38,0.39473684210526316,5,9,0.5555555555555556,6,6,1.0,20,45,0.4444444444444444,1,1,1.0,5,7,0.7142857142857143
L,YiSak Lee,0,0,0,0,10,25,0.4,10,25,0.4,0,0,0.0,3,15,0.2,1,2,0.5,6,8,0.75,10,25,0.4,0,0,0.0,0,0,0.0
W,Luis Felipe Dias,1,0,0,3,21,40,0.525,21,40,0.525,0,0,0.0,14,31,0.45161290322580644,3,4,0.75,4,5,0.8,18,36,0.5,0,0,0.0,3,4,0.75
L,Ding Meng,0,0,0,0,63,146,0.4315068493150685,63,146,0.4315068493150685,0,0,0.0,13,74,0.17567567567567569,8,21,0.38095238095238093,42,51,0.8235294117647058,62,145,0.42758620689655175,1,1,1.0,0,0,0.0
W,Jose Souza,0,0,0,0,72,153,0.47058823529411764,72,153,0.47058823529411764,0,0,0.0,61,135,0.45185185185185184,7,14,0.5,4,4,1.0,71,151,0.47019867549668876,1,2,0.5,0,0,0.0
L,Aoriqileng,0,1,0,0,6,11,0.5454545454545454,12,17,0.7058823529411765,0,0,0.0,4,9,0.4444444444444444,2,2,1.0,0,0,0.0,6,9,0.6666666666666666,0,0,0.0,0,2,0.0
W,Cody Haddon,1,0,0,330,57,70,0.8142857142857143,84,105,0.8,2,6,0.3333333333333333,46,59,0.7796610169491526,10,10,1.0,1,1,1.0,8,17,0.47058823529411764,4,4,1.0,45,49,0.9183673469387755
W,Rei Tsuruya,0,1,0,137,17,27,0.6296296296296297,20,30,0.6666666666666666,1,3,0.3333333333333333,17,26,0.6538461538461539,0,1,0.0,0,0,0.0,3,8,0.375,0,0,0.0,14,19,0.7368421052631579
