KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate,Target
-1,-3,0,-128,-25,-9,-0.11053439803439802,-39,-19,-0.13450403417180823,-7,-16,-0.15000000000000002,-6,9,-0.07234042553191489,-11,-8,-0.27083333333333337,-8,-10,0.09999999999999998,-9,9,-0.09149126735333635,-1,4,-0.21717171717171713,-15,-22,-0.6818181818181818,0
-1,1,0,164,28,58,-0.04311310190369533,83,117,0.045962394404578055,2,4,0.0,47,83,0.0421830832789738,-13,-15,0.10526315789473684,-6,-10,0.33333333333333337,21,56,-0.08729157909485774,1,0,0.07692307692307687,6,2,0.21818181818181825,1
1,0,0,-129,-2,-8,0.03472222222222221,-2,-10,0.04820736434108519,-1,-1,-1.0,-22,-32,-0.1147286821705426,15,19,-0.16666666666666663,5,5,1.0,10,1,0.1621858562244302,-2,-1,-0.6666666666666666,-10,-8,-0.22009569377990434,1
0,0,0,130,-3,-12,0.028665028665028625,2,-6,0.04666442048517527,3,6,0.5,-33,-49,-0.1477768090671317,17,23,0.7391304347826086,13,14,0.9285714285714286,-6,-13,0.0034161490683229934,3,1,0.3571428571428571,0,0,0.0,0
1,0,0,10,28,24,0.3253588516746412,27,23,0.3075335397316822,0,1,0.0,15,9,0.30769230769230776,9,11,-0.1428571428571429,4,4,1.0,19,12,0.37857142857142856,8,11,-0.050000000000000044,1,1,1.0,1
-1,0,0,0,-3,2,-0.12708333333333333,-3,2,-0.12708333333333333,0,1,0.0,-3,2,-0.13665389527458482,0,0,0.0,0,0,0.0,0,4,-0.06620689655172418,-3,-2,-0.46666666666666673,0,0,0.0,0
1,0,0,2,20,26,0.08081543502002175,20,26,0.08081543502002175,0,0,0.0,21,30,0.17473338802296962,5,5,0.09999999999999998,-6,-9,0.23076923076923073,12,17,0.042472666105971335,6,7,0.8571428571428571,2,2,1.0,1
0,0,0,-51,-65,-59,-0.17567084078711986,-79,-73,-0.19398323195791556,1,9,0.1111111111111111,-29,-13,-0.17204724409448824,-16,-16,-0.142602495543672,-20,-30,0.23809523809523814,-60,-50,-0.1902128090115004,0,-1,0.1071428571428571,-5,-8,-0.625,0
1,0,0,-30,-12,-17,0.017575757575757578,-11,-15,0.006756756756756799,-1,0,-1.0,4,4,0.09999999999999998,-10,-15,0.25,-6,-6,0.0,-13,-18,0.010000000000000009,0,0,0.0,1,1,1.0,1
0,0,-1,229,4,-53,0.20328837097932795,3,-52,0.18816733765097143,5,22,0.2272727272727272,10,-42,0.23209186463333137,-21,-24,-0.1515151515151516,15,13,0.9375,2,-58,0.23551401869158872,-11,-14,-0.04761904761904756,13,19,0.65,1
