Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Montel Jackson,0,30 of 66,45%,67 of 106,2 of 8,25%,1,0,3:37,25 of 58,1 of 3,4 of 5,27 of 62,3 of 4,0 of 0
L,Daniel Marcos,0,17 of 32,53%,24 of 43,3 of 7,42%,0,0,5:45,5 of 18,5 of 7,7 of 7,13 of 27,3 of 4,1 of 1
L,Cameron Smotherman,0,58 of 134,43%,61 of 137,0 of 0,---,0,0,0:00,43 of 114,15 of 20,0 of 0,53 of 124,5 of 10,0 of 0
W,Serhiy Sidey,0,55 of 132,41%,66 of 149,5 of 12,41%,1,0,4:12,30 of 98,15 of 22,10 of 12,49 of 122,6 of 10,0 of 0
L,Jeremy Stephens,0,42 of 108,38%,54 of 126,0 of 0,---,0,0,0:11,19 of 79,7 of 11,16 of 18,41 of 105,1 of 3,0 of 0
W,Mason Jones,0,81 of 231,35%,104 of 261,8 of 12,66%,0,0,6:03,50 of 188,19 of 28,12 of 15,74 of 220,5 of 7,2 of 4
W,Yana Santos,0,66 of 117,56%,87 of 143,0 of 1,0%,0,0,0:46,37 of 87,15 of 16,14 of 14,47 of 96,19 of 21,0 of 0
L,Miesha Tate,0,40 of 115,34%,108 of 204,1 of 7,14%,0,0,5:05,25 of 88,8 of 17,7 of 10,29 of 100,8 of 10,3 of 5
L,Ryan Loder,0,13 of 25,52%,15 of 27,0 of 4,0%,0,0,0:13,6 of 15,7 of 10,0 of 0,6 of 17,7 of 8,0 of 0
W,Azamat Bekoev,2,23 of 46,50%,39 of 66,0 of 1,0%,0,0,1:04,21 of 42,2 of 4,0 of 0,17 of 31,5 of 11,1 of 4
L,Marina Rodriguez,0,4 of 17,23%,7 of 20,0 of 0,---,1,0,0:00,3 of 14,1 of 3,0 of 0,4 of 17,0 of 0,0 of 0
W,Gillian Robertson,0,16 of 41,39%,73 of 120,2 of 3,66%,0,0,5:21,12 of 32,2 of 6,2 of 3,6 of 20,0 of 0,10 of 21
L,Gaston Bolanos,0,5 of 20,25%,8 of 23,0 of 0,---,0,0,0:00,1 of 11,1 of 2,3 of 7,5 of 20,0 of 0,0 of 0
W,Quang Le,0,10 of 14,71%,33 of 38,4 of 7,57%,1,0,5:46,9 of 13,1 of 1,0 of 0,10 of 14,0 of 0,0 of 0
W,Thomas Petersen,0,28 of 51,54%,105 of 166,9 of 9,100%,1,0,13:49,28 of 51,0 of 0,0 of 0,1 of 5,1 of 1,26 of 45
L,Don'Tale Mayes,0,3 of 11,27%,13 of 23,0 of 0,---,0,0,0:00,1 of 8,2 of 3,0 of 0,3 of 11,0 of 0,0 of 0
W,Juliana Miller,0,22 of 55,40%,54 of 101,3 of 9,33%,0,0,8:10,11 of 41,8 of 11,3 of 3,16 of 46,1 of 3,5 of 6
L,Ivana Petrovic,0,25 of 53,47%,57 of 87,1 of 5,20%,0,0,2:47,8 of 33,9 of 12,8 of 8,25 of 53,0 of 0,0 of 0
W,Ian Machado Garry,0,126 of 242,52%,141 of 259,4 of 19,21%,0,0,3:09,86 of 185,17 of 28,23 of 29,120 of 231,2 of 6,4 of 5
L,Carlos Prates,0,63 of 129,48%,64 of 132,0 of 0,---,0,0,1:46,38 of 97,16 of 21,9 of 11,50 of 114,1 of 2,12 of 13
L,Anthony Smith,0,10 of 21,47%,11 of 22,0 of 1,0%,0,0,0:16,8 of 18,2 of 3,0 of 0,10 of 21,0 of 0,0 of 0
W,Zhang Mingyang,0,63 of 81,77%,76 of 97,0 of 0,---,0,0,1:28,42 of 58,6 of 8,15 of 15,35 of 46,3 of 4,25 of 31
L,Giga Chikadze,0,43 of 91,47%,71 of 127,0 of 0,---,0,0,0:00,23 of 66,8 of 11,12 of 14,40 of 88,2 of 2,1 of 1
W,David Onama,0,49 of 87,56%,72 of 127,3 of 3,100%,0,0,6:15,29 of 55,1 of 6,19 of 26,38 of 75,1 of 1,10 of 11
L,Michel Pereira,0,73 of 168,43%,74 of 169,0 of 0,---,0,0,0:24,27 of 90,27 of 50,19 of 28,72 of 166,1 of 2,0 of 0
W,Abus Magomedov,0,78 of 134,58%,83 of 140,1 of 4,25%,0,0,1:01,53 of 99,19 of 29,6 of 6,72 of 128,3 of 3,3 of 3
W,Randy Brown,1,54 of 114,47%,58 of 118,0 of 0,---,0,0,0:03,45 of 103,5 of 7,4 of 4,54 of 114,0 of 0,0 of 0
L,Nicolas Dalby,1,26 of 74,35%,40 of 90,0 of 0,---,0,0,1:22,12 of 52,1 of 3,13 of 19,25 of 72,0 of 0,1 of 2
W,Ikram Aliskerov,1,44 of 68,64%,55 of 80,0 of 0,---,0,0,0:32,26 of 46,10 of 13,8 of 9,25 of 44,1 of 1,18 of 23
L,Andre Muniz,0,16 of 36,44%,16 of 36,0 of 1,0%,0,0,0:00,6 of 23,6 of 9,4 of 4,16 of 36,0 of 0,0 of 0
W,Matt Schnell,0,35 of 61,57%,88 of 117,0 of 0,---,3,1,3:53,33 of 58,1 of 1,1 of 2,12 of 34,4 of 4,19 of 23
L,Jimmy Flick,0,12 of 20,60%,48 of 60,5 of 7,71%,1,1,8:28,8 of 13,0 of 2,4 of 5,8 of 16,2 of 2,2 of 2
W,Evan Elder,0,115 of 210,54%,115 of 210,0 of 3,0%,0,0,0:16,47 of 127,45 of 57,23 of 26,115 of 210,0 of 0,0 of 0
L,Gauge Young,0,81 of 183,44%,81 of 183,0 of 1,0%,0,0,0:02,33 of 107,33 of 56,15 of 20,81 of 183,0 of 0,0 of 0
W,Chris Gutierrez,1,46 of 85,54%,65 of 112,0 of 2,0%,0,0,0:39,20 of 50,5 of 9,21 of 26,44 of 81,0 of 1,2 of 3
L,John Castaneda,0,41 of 77,53%,76 of 118,1 of 1,100%,0,0,4:50,16 of 34,8 of 13,17 of 30,36 of 71,5 of 6,0 of 0
W,Da'Mon Blackshear,0,125 of 273,45%,127 of 275,0 of 0,---,0,0,0:00,75 of 200,37 of 50,13 of 23,123 of 270,2 of 3,0 of 0
L,Alatengheili,0,61 of 190,32%,61 of 191,0 of 1,0%,0,0,0:18,34 of 148,19 of 34,8 of 8,60 of 189,1 of 1,0 of 0
W,Malcolm Wellmaker,1,6 of 12,50%,6 of 12,0 of 0,---,0,0,0:01,1 of 6,4 of 4,1 of 2,6 of 11,0 of 0,0 of 1
L,Cameron Saaiman,0,9 of 18,50%,9 of 18,0 of 0,---,0,0,0:00,1 of 9,1 of 2,7 of 7,9 of 18,0 of 0,0 of 0
W,Jaqueline Amorim,0,6 of 8,75%,29 of 43,2 of 2,100%,1,0,6:34,5 of 5,0 of 1,1 of 2,1 of 3,0 of 0,5 of 5
L,Polyana Viana,0,0 of 6,0%,23 of 31,0 of 0,---,0,0,0:00,0 of 4,0 of 2,0 of 0,0 of 6,0 of 0,0 of 0
W,Timmy Cuamba,1,33 of 64,51%,35 of 66,1 of 4,25%,0,0,0:12,25 of 53,6 of 8,2 of 3,29 of 59,3 of 4,1 of 1
L,Roberto Romero,0,35 of 67,52%,45 of 79,0 of 3,0%,0,0,2:19,5 of 32,19 of 22,11 of 13,29 of 60,6 of 7,0 of 0
L,Chelsea Chandler,0,10 of 23,43%,11 of 24,0 of 0,---,0,0,0:00,6 of 17,2 of 4,2 of 2,9 of 21,1 of 2,0 of 0
W,Joselyne Edwards,0,30 of 42,71%,35 of 47,1 of 1,100%,0,0,0:49,14 of 23,3 of 5,13 of 14,27 of 39,1 of 1,2 of 2
W,Alexander Volkanovski,0,158 of 259,61%,165 of 266,1 of 11,9%,0,0,1:18,136 of 225,8 of 14,14 of 20,142 of 237,7 of 11,9 of 11
L,Diego Lopes,1,63 of 194,32%,71 of 203,0 of 0,---,0,0,0:05,49 of 171,7 of 13,7 of 10,59 of 185,3 of 8,1 of 1
L,Michael Chandler,0,11 of 28,39%,20 of 39,4 of 7,57%,0,0,2:44,6 of 18,3 of 7,2 of 3,10 of 24,0 of 0,1 of 4
W,Paddy Pimblett,0,80 of 143,55%,121 of 197,1 of 2,50%,0,1,4:41,61 of 119,4 of 5,15 of 19,43 of 96,4 of 5,33 of 42
W,Yair Rodriguez,1,70 of 122,57%,97 of 157,1 of 1,100%,0,0,1:43,38 of 82,18 of 23,14 of 17,43 of 89,2 of 2,25 of 31
L,Patricio Pitbull,0,17 of 50,34%,23 of 60,1 of 4,25%,1,0,1:03,8 of 38,2 of 4,7 of 8,17 of 50,0 of 0,0 of 0
L,Bryce Mitchell,0,36 of 64,56%,37 of 66,1 of 14,7%,0,0,1:43,7 of 25,8 of 18,21 of 21,35 of 61,1 of 3,0 of 0
W,Jean Silva,1,27 of 63,42%,29 of 65,0 of 0,---,3,0,0:19,11 of 44,13 of 15,3 of 4,23 of 56,3 of 5,1 of 2
L,Nikita Krylov,0,4 of 22,18%,4 of 22,0 of 0,---,0,0,0:00,3 of 16,1 of 6,0 of 0,4 of 22,0 of 0,0 of 0
W,Dominick Reyes,1,8 of 17,47%,8 of 17,0 of 0,---,0,0,0:02,5 of 14,1 of 1,2 of 2,6 of 15,0 of 0,2 of 2
W,Dan Ige,0,44 of 107,41%,53 of 116,0 of 2,0%,0,0,0:33,28 of 78,11 of 20,5 of 9,41 of 104,3 of 3,0 of 0
L,Sean Woodson,0,51 of 115,44%,57 of 121,0 of 1,0%,0,0,0:10,36 of 98,7 of 9,8 of 8,51 of 115,0 of 0,0 of 0
L,Yan Xiaonan,0,17 of 44,38%,64 of 103,0 of 0,---,0,1,0:27,13 of 34,3 of 7,1 of 3,12 of 38,0 of 0,5 of 6
W,Virna Jandiroba,0,11 of 20,55%,96 of 131,3 of 11,27%,3,1,9:59,11 of 20,0 of 0,0 of 0,8 of 16,0 of 1,3 of 3
L,Jim Miller,0,13 of 35,37%,22 of 45,1 of 1,100%,2,0,1:39,11 of 30,1 of 2,1 of 3,7 of 28,1 of 2,5 of 5
W,Chase Hooper,0,21 of 44,47%,59 of 94,8 of 14,57%,1,0,10:08,13 of 34,7 of 9,1 of 1,18 of 41,1 of 1,2 of 2
L,Darren Elkins,0,13 of 31,41%,18 of 45,1 of 7,14%,0,0,0:48,11 of 28,1 of 2,1 of 1,12 of 29,0 of 0,1 of 2
W,Julian Erosa,0,54 of 73,73%,69 of 92,0 of 0,---,0,0,0:48,52 of 71,0 of 0,2 of 2,22 of 39,11 of 12,21 of 22
L,Sedriques Dumas,0,3 of 26,11%,3 of 26,0 of 0,---,0,0,0:00,0 of 18,2 of 5,1 of 3,3 of 26,0 of 0,0 of 0
W,Michal Oleksiejczuk,1,34 of 57,59%,34 of 59,0 of 0,---,0,0,0:18,27 of 49,7 of 8,0 of 0,13 of 27,0 of 0,21 of 30
W,Sumudaerji,0,45 of 114,39%,78 of 150,0 of 0,---,0,0,0:00,25 of 84,5 of 8,15 of 22,39 of 104,6 of 10,0 of 0
L,Mitch Raposo,0,9 of 26,34%,13 of 30,6 of 19,31%,0,0,4:18,8 of 25,0 of 0,1 of 1,8 of 25,1 of 1,0 of 0
L,Tresean Gore,0,17 of 60,28%,17 of 60,0 of 0,---,0,0,0:06,10 of 47,3 of 5,4 of 8,17 of 60,0 of 0,0 of 0
W,Marco Tulio,2,127 of 175,72%,140 of 195,0 of 0,---,0,0,0:43,74 of 120,40 of 42,13 of 13,118 of 161,4 of 4,5 of 10
W,Nora Cornolle,0,8 of 12,66%,24 of 32,0 of 0,---,1,0,1:33,5 of 9,1 of 1,2 of 2,5 of 9,3 of 3,0 of 0
L,Hailey Cowan,0,3 of 7,42%,19 of 28,1 of 2,50%,0,0,4:24,2 of 6,1 of 1,0 of 0,2 of 6,0 of 0,1 of 1
L,Josh Emmett,0,41 of 143,28%,44 of 149,4 of 11,36%,0,0,3:39,29 of 124,6 of 11,6 of 8,40 of 133,1 of 7,0 of 3
W,Lerone Murphy,0,84 of 157,53%,117 of 195,0 of 0,---,0,0,0:06,37 of 90,17 of 30,30 of 37,75 of 148,9 of 9,0 of 0
W,Pat Sabatini,0,24 of 31,77%,135 of 158,4 of 5,80%,1,0,13:47,22 of 28,2 of 3,0 of 0,2 of 7,1 of 1,21 of 23
L,Joanderson Brito,0,3 of 9,33%,27 of 46,0 of 0,---,1,0,0:00,2 of 6,1 of 2,0 of 1,3 of 9,0 of 0,0 of 0
L,Cortavious Romious,0,11 of 24,45%,14 of 27,2 of 3,66%,0,1,2:08,7 of 19,1 of 2,3 of 3,11 of 24,0 of 0,0 of 0
W,ChangHo Lee,0,44 of 74,59%,116 of 179,2 of 4,50%,1,3,5:38,42 of 70,2 of 4,0 of 0,7 of 24,0 of 0,37 of 50
W,Brad Tavares,0,47 of 109,43%,56 of 118,0 of 0,---,0,0,0:01,29 of 85,12 of 18,6 of 6,45 of 105,2 of 4,0 of 0
L,Gerald Meerschaert,0,38 of 83,45%,51 of 97,0 of 8,0%,0,0,4:44,27 of 66,7 of 10,4 of 7,36 of 79,2 of 4,0 of 0
W,Ode Osbourne,1,18 of 43,41%,22 of 50,0 of 0,---,0,0,0:07,11 of 33,6 of 9,1 of 1,14 of 37,0 of 1,4 of 5
L,Luis Gurule,0,12 of 34,35%,26 of 49,1 of 4,25%,0,0,2:17,3 of 13,0 of 7,9 of 14,11 of 32,1 of 2,0 of 0
W,Torrez Finney,0,4 of 8,50%,17 of 35,8 of 17,47%,0,0,13:16,2 of 5,2 of 3,0 of 0,1 of 4,0 of 1,3 of 3
L,Robert Valentin,0,23 of 39,58%,93 of 126,0 of 0,---,0,1,0:16,18 of 32,4 of 6,1 of 1,5 of 19,12 of 14,6 of 6
L,Diana Belbita,0,20 of 69,28%,23 of 72,0 of 0,---,0,0,0:00,6 of 43,6 of 17,8 of 9,20 of 69,0 of 0,0 of 0
W,Dione Barbosa,0,27 of 50,54%,35 of 58,1 of 1,100%,1,0,0:58,23 of 46,2 of 2,2 of 2,25 of 48,2 of 2,0 of 0
W,Rhys McKee,3,43 of 111,38%,59 of 133,0 of 0,---,0,0,1:10,33 of 99,6 of 8,4 of 4,38 of 101,3 of 8,2 of 2
L,Daniel Frunza,0,43 of 117,36%,50 of 124,0 of 0,---,0,0,0:00,31 of 98,3 of 9,9 of 10,37 of 107,6 of 10,0 of 0
W,Loma Lookboonmee,0,32 of 76,42%,111 of 170,3 of 5,60%,0,0,4:34,12 of 41,13 of 25,7 of 10,28 of 70,4 of 4,0 of 2
L,Istela Nunes,0,36 of 62,58%,51 of 82,0 of 1,0%,0,0,3:15,7 of 26,11 of 13,18 of 23,33 of 58,3 of 3,0 of 1
W,Victor Henry,1,73 of 151,48%,139 of 227,2 of 3,66%,0,3,4:10,44 of 115,21 of 27,8 of 9,57 of 127,9 of 14,7 of 10
L,Pedro Falcao,0,57 of 117,48%,69 of 133,4 of 13,30%,0,0,2:58,34 of 91,11 of 13,12 of 13,55 of 114,2 of 3,0 of 0
W,Martin Buday,0,58 of 107,54%,142 of 211,0 of 1,0%,0,0,5:06,29 of 72,3 of 4,26 of 31,49 of 93,9 of 14,0 of 0
L,Uran Satybaldiev,0,36 of 141,25%,45 of 154,0 of 2,0%,0,0,0:20,19 of 120,6 of 6,11 of 15,32 of 137,4 of 4,0 of 0
L,Vanessa Demopoulos,0,10 of 34,29%,34 of 63,0 of 0,---,0,0,0:02,9 of 31,1 of 3,0 of 0,9 of 33,0 of 0,1 of 1
W,Talita Alencar,0,45 of 75,60%,107 of 150,4 of 5,80%,1,0,12:38,39 of 67,4 of 4,2 of 4,13 of 39,1 of 1,31 of 35
W,Brandon Moreno,0,89 of 176,50%,95 of 182,1 of 5,20%,0,0,1:25,59 of 138,18 of 25,12 of 13,87 of 174,2 of 2,0 of 0
L,Steve Erceg,0,116 of 279,41%,119 of 282,0 of 0,---,0,0,0:00,90 of 237,11 of 24,15 of 18,115 of 278,1 of 1,0 of 0
W,Manuel Torres,1,23 of 25,92%,23 of 25,0 of 0,---,0,0,0:10,21 of 23,2 of 2,0 of 0,7 of 9,0 of 0,16 of 16
L,Drew Dober,0,3 of 9,33%,3 of 9,0 of 0,---,0,0,0:00,2 of 5,0 of 3,1 of 1,3 of 9,0 of 0,0 of 0
W,Edgar Chairez,0,8 of 27,29%,8 of 27,0 of 0,---,1,0,0:16,8 of 25,0 of 0,0 of 2,7 of 25,1 of 1,0 of 1
L,CJ Vergara,0,6 of 13,46%,6 of 13,0 of 0,---,0,0,0:00,1 of 2,0 of 3,5 of 8,6 of 13,0 of 0,0 of 0
W,Raul Rosas Jr.,0,20 of 39,51%,26 of 46,4 of 8,50%,0,0,9:38,12 of 30,5 of 5,3 of 4,16 of 34,0 of 0,4 of 5
L,Vince Morales,0,17 of 31,54%,39 of 53,1 of 1,100%,2,0,2:14,15 of 28,2 of 3,0 of 0,16 of 30,0 of 0,1 of 1
W,David Martinez,1,27 of 41,65%,28 of 42,0 of 1,0%,0,0,0:42,21 of 34,1 of 2,5 of 5,14 of 25,5 of 5,8 of 11
L,Saimon Oliveira,0,7 of 24,29%,7 of 24,0 of 0,---,0,0,0:00,3 of 17,3 of 4,1 of 3,7 of 23,0 of 1,0 of 0
L,Ronaldo Rodriguez,0,64 of 151,42%,64 of 151,1 of 5,20%,0,0,0:57,31 of 110,11 of 16,22 of 25,63 of 149,1 of 2,0 of 0
W,Kevin Borjas,1,83 of 141,58%,84 of 142,0 of 0,---,0,0,0:02,72 of 129,6 of 7,5 of 5,78 of 135,3 of 4,2 of 2
L,Jose Daniel Medina,0,17 of 33,51%,17 of 33,0 of 0,---,0,0,0:00,6 of 21,6 of 7,5 of 5,17 of 33,0 of 0,0 of 0
W,Ateba Gautier,1,28 of 50,56%,28 of 50,0 of 0,---,0,0,0:00,24 of 43,3 of 6,1 of 1,26 of 48,2 of 2,0 of 0
L,Christian Rodriguez,0,64 of 98,65%,77 of 113,6 of 15,40%,1,1,6:48,36 of 69,23 of 24,5 of 5,29 of 53,26 of 31,9 of 14
W,Melquizael Costa,0,65 of 105,61%,159 of 208,1 of 2,50%,1,3,4:53,39 of 72,19 of 25,7 of 8,19 of 47,17 of 23,29 of 35
W,Loopy Godinez,0,84 of 150,56%,114 of 184,5 of 11,45%,0,0,7:30,71 of 135,9 of 11,4 of 4,75 of 141,7 of 7,2 of 2
L,Julia Polastri,0,87 of 151,57%,117 of 186,0 of 0,---,0,0,0:19,58 of 112,14 of 23,15 of 16,78 of 135,4 of 4,5 of 12
W,Rafa Garcia,0,64 of 120,53%,76 of 136,2 of 6,33%,0,0,2:15,49 of 102,12 of 14,3 of 4,59 of 114,4 of 5,1 of 1
L,Vinc Pichel,0,79 of 182,43%,88 of 191,0 of 3,0%,0,0,0:01,32 of 116,27 of 43,20 of 23,74 of 174,4 of 7,1 of 1
W,Jamall Emmers,2,33 of 54,61%,35 of 56,0 of 0,---,0,1,0:49,24 of 45,7 of 7,2 of 2,26 of 47,3 of 3,4 of 4
L,Gabriel Miranda,0,18 of 35,51%,20 of 37,2 of 4,50%,1,0,1:25,10 of 24,5 of 7,3 of 4,16 of 32,2 of 3,0 of 0
W,MarQuel Mederos,0,44 of 68,64%,57 of 81,0 of 1,0%,0,1,1:33,21 of 41,7 of 7,16 of 20,32 of 55,4 of 4,8 of 9
L,Austin Hubbard,0,26 of 65,40%,62 of 121,2 of 9,22%,1,0,7:34,16 of 51,6 of 9,4 of 5,22 of 60,3 of 3,1 of 2
L,Leon Edwards,0,23 of 35,65%,23 of 35,0 of 1,0%,0,0,0:15,10 of 21,11 of 12,2 of 2,11 of 23,12 of 12,0 of 0
W,Sean Brady,0,57 of 93,61%,221 of 295,5 of 7,71%,1,0,11:10,44 of 76,8 of 9,5 of 8,19 of 53,7 of 7,31 of 33
L,Jan Blachowicz,0,59 of 131,45%,59 of 131,0 of 1,0%,0,0,0:00,17 of 67,10 of 26,32 of 38,59 of 131,0 of 0,0 of 0
W,Carlos Ulberg,0,75 of 157,47%,75 of 157,0 of 1,0%,0,0,0:08,19 of 87,6 of 15,50 of 55,74 of 156,1 of 1,0 of 0
L,Gunnar Nelson,0,15 of 24,62%,30 of 44,3 of 10,30%,1,0,9:29,10 of 19,4 of 4,1 of 1,2 of 7,7 of 8,6 of 9
W,Kevin Holland,1,55 of 89,61%,138 of 178,0 of 1,0%,0,0,1:04,30 of 57,15 of 20,10 of 12,15 of 34,22 of 27,18 of 28
L,Molly McCann,0,9 of 21,42%,14 of 28,0 of 0,---,0,0,0:00,6 of 17,2 of 3,1 of 1,4 of 11,0 of 0,5 of 10
W,Alexia Thainara,0,11 of 21,52%,17 of 32,1 of 1,100%,2,0,3:24,7 of 13,1 of 2,3 of 6,6 of 14,0 of 0,5 of 7
L,Jordan Vucenic,0,16 of 26,61%,22 of 32,1 of 2,50%,0,0,0:12,13 of 21,1 of 1,2 of 4,12 of 22,2 of 2,2 of 2
W,Chris Duncan,1,15 of 40,37%,24 of 50,4 of 5,80%,1,0,5:37,9 of 31,5 of 5,1 of 4,8 of 30,1 of 2,6 of 8
W,Nathaniel Wood,1,72 of 119,60%,89 of 136,0 of 0,---,1,0,1:00,42 of 80,5 of 8,25 of 31,62 of 104,3 of 4,7 of 11
L,Morgan Charriere,0,42 of 94,44%,69 of 125,1 of 3,33%,0,1,3:24,21 of 64,13 of 18,8 of 12,37 of 87,3 of 3,2 of 4
L,Jai Herbert,0,38 of 122,31%,59 of 143,0 of 1,0%,0,0,0:01,19 of 92,10 of 19,9 of 11,37 of 120,1 of 2,0 of 0
W,Chris Padilla,0,39 of 98,39%,88 of 147,0 of 6,0%,0,0,3:41,20 of 60,6 of 9,13 of 29,35 of 94,4 of 4,0 of 0
W,Lone'er Kavanagh,0,58 of 97,59%,71 of 112,4 of 6,66%,0,0,6:33,37 of 71,11 of 15,10 of 11,29 of 56,3 of 6,26 of 35
L,Felipe dos Santos,0,51 of 104,49%,92 of 147,0 of 3,0%,1,0,0:56,28 of 67,9 of 21,14 of 16,28 of 77,4 of 4,19 of 23
W,Marcin Tybura,0,61 of 155,39%,64 of 158,1 of 2,50%,0,0,1:01,28 of 110,29 of 40,4 of 5,60 of 151,1 of 4,0 of 0
L,Mick Parkin,0,60 of 145,41%,102 of 192,1 of 1,100%,0,0,3:43,47 of 130,1 of 2,12 of 13,49 of 118,2 of 2,9 of 25
W,Christian Leroy Duncan,0,73 of 141,51%,116 of 187,0 of 2,0%,0,0,5:36,35 of 87,17 of 28,21 of 26,47 of 105,26 of 36,0 of 0
L,Andrey Pulyaev,0,18 of 55,32%,36 of 78,0 of 4,0%,0,0,1:49,8 of 43,7 of 8,3 of 4,14 of 48,4 of 7,0 of 0
W,Shauna Bannon,0,52 of 104,50%,64 of 117,0 of 0,---,2,0,0:59,16 of 37,24 of 46,12 of 21,49 of 99,3 of 5,0 of 0
L,Puja Tomar,1,36 of 72,50%,38 of 74,0 of 0,---,0,0,1:07,22 of 51,10 of 12,4 of 9,27 of 60,2 of 4,7 of 8
L,Nathan Fletcher,0,59 of 100,59%,114 of 158,1 of 7,14%,0,0,4:14,41 of 79,12 of 15,6 of 6,25 of 57,33 of 40,1 of 3
W,Caolan Loughran,0,30 of 84,35%,65 of 128,6 of 12,50%,0,0,5:58,22 of 67,7 of 13,1 of 4,24 of 75,6 of 9,0 of 0
L,Guram Kutateladze,0,29 of 71,40%,36 of 81,0 of 5,0%,0,0,0:05,16 of 51,10 of 15,3 of 5,23 of 64,6 of 7,0 of 0
W,Kaue Fernandes,2,79 of 149,53%,79 of 149,2 of 2,100%,0,0,1:43,40 of 103,16 of 19,23 of 27,62 of 127,5 of 5,12 of 17
L,Marvin Vettori,0,111 of 220,50%,112 of 221,0 of 0,---,0,0,0:00,72 of 173,8 of 11,31 of 36,110 of 218,1 of 2,0 of 0
W,Roman Dolidze,0,141 of 338,41%,141 of 340,0 of 1,0%,0,0,0:15,85 of 253,20 of 36,36 of 49,137 of 332,4 of 6,0 of 0
W,Chidi Njokuani,1,46 of 87,52%,46 of 88,0 of 0,---,0,0,0:10,17 of 38,16 of 32,13 of 17,36 of 71,2 of 3,8 of 13
L,Elizeu Zaleski dos Santos,0,17 of 49,34%,19 of 54,1 of 5,20%,0,0,1:14,5 of 28,2 of 5,10 of 16,13 of 44,4 of 5,0 of 0
W,Alexander Hernandez,0,59 of 149,39%,87 of 186,4 of 5,80%,0,0,6:39,36 of 117,10 of 15,13 of 17,45 of 129,2 of 3,12 of 17
L,Kurt Holobaugh,0,71 of 171,41%,106 of 215,0 of 0,---,1,0,0:32,39 of 122,21 of 35,11 of 14,63 of 160,8 of 11,0 of 0
W,Da'Mon Blackshear,0,13 of 39,33%,46 of 74,0 of 1,0%,3,1,3:32,11 of 35,2 of 4,0 of 0,11 of 37,2 of 2,0 of 0
L,Cody Gibson,0,45 of 71,63%,53 of 82,1 of 5,20%,0,0,2:42,23 of 47,12 of 14,10 of 10,31 of 53,14 of 18,0 of 0
L,Diyar Nurgozhay,0,17 of 39,43%,20 of 42,2 of 2,100%,0,0,0:49,5 of 21,7 of 13,5 of 5,16 of 36,1 of 3,0 of 0
W,Brendson Ribeiro,1,28 of 58,48%,29 of 60,0 of 1,0%,1,1,0:14,13 of 35,5 of 10,10 of 13,28 of 58,0 of 0,0 of 0
L,SeungWoo Choi,0,16 of 44,36%,16 of 44,0 of 0,---,0,0,0:00,4 of 20,1 of 8,11 of 16,16 of 44,0 of 0,0 of 0
W,Kevin Vallejos,1,14 of 27,51%,26 of 39,0 of 0,---,0,0,0:05,4 of 12,3 of 6,7 of 9,13 of 26,0 of 0,1 of 1
W,Waldo Cortes Acosta,1,66 of 111,59%,77 of 123,0 of 1,0%,0,0,0:57,56 of 97,4 of 6,6 of 8,59 of 100,1 of 2,6 of 9
L,Ryan Spann,0,23 of 86,26%,24 of 87,0 of 2,0%,0,0,0:05,11 of 70,5 of 9,7 of 7,22 of 85,1 of 1,0 of 0
W,SuYoung You,0,18 of 32,56%,77 of 96,5 of 10,50%,1,0,7:54,8 of 21,5 of 5,5 of 6,18 of 31,0 of 0,0 of 1
L,AJ Cunningham,0,16 of 52,30%,19 of 55,0 of 0,---,1,0,0:00,11 of 45,1 of 1,4 of 6,16 of 52,0 of 0,0 of 0
W,Carlos Vera,1,16 of 24,66%,18 of 26,0 of 2,0%,2,0,0:14,3 of 10,3 of 3,10 of 11,16 of 24,0 of 0,0 of 0
L,Josias Musasa,0,13 of 31,41%,13 of 31,0 of 1,0%,0,0,0:10,3 of 13,0 of 2,10 of 16,13 of 31,0 of 0,0 of 0
L,Stephanie Luciano,0,82 of 251,32%,101 of 273,1 of 2,50%,0,0,1:15,45 of 202,23 of 34,14 of 15,79 of 246,3 of 5,0 of 0
W,Sam Hughes,0,76 of 152,50%,146 of 233,3 of 8,37%,1,0,4:21,43 of 113,15 of 20,18 of 19,69 of 144,3 of 4,4 of 4
L,Daniel Barez,0,33 of 79,41%,34 of 80,1 of 5,20%,0,0,0:17,21 of 66,8 of 9,4 of 4,32 of 77,1 of 2,0 of 0
W,Andre Lima,0,108 of 159,67%,161 of 220,2 of 2,100%,1,0,4:50,59 of 99,23 of 27,26 of 33,90 of 140,16 of 17,2 of 2
L,Josiane Nunes,0,31 of 67,46%,31 of 67,0 of 1,0%,0,0,0:00,17 of 49,7 of 11,7 of 7,31 of 67,0 of 0,0 of 0
W,Priscila Cachoeira,1,37 of 76,48%,39 of 78,0 of 0,---,0,0,0:02,31 of 70,4 of 4,2 of 2,37 of 75,0 of 0,0 of 1
L,Yuneisy Duben,0,14 of 41,34%,14 of 41,0 of 0,---,0,0,0:00,8 of 32,0 of 0,6 of 9,14 of 41,0 of 0,0 of 0
W,Carli Judice,1,17 of 43,39%,19 of 45,0 of 0,---,0,0,0:02,12 of 34,5 of 9,0 of 0,15 of 40,0 of 0,2 of 3
