Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
L,JJ Aldrich,0,27 of 63,42%,38 of 76,0 of 2,0%,0,0,5:09,19 of 51,8 of 11,0 of 1,15 of 47,8 of 9,4 of 7
W,Veronica Hardy,0,36 of 78,46%,69 of 113,0 of 0,---,0,0,0:01,22 of 60,3 of 6,11 of 12,30 of 68,6 of 9,0 of 1
W,Alexandre Pantoja,0,125 of 242,51%,143 of 262,9 of 19,47%,0,0,8:15,75 of 184,33 of 39,17 of 19,96 of 207,14 of 16,15 of 19
L,Steve Erceg,0,111 of 212,52%,129 of 233,1 of 6,16%,0,1,0:32,87 of 181,16 of 23,8 of 8,107 of 207,3 of 4,1 of 1
W,Jose Aldo,0,77 of 139,55%,101 of 174,1 of 2,50%,0,0,1:45,41 of 96,26 of 33,10 of 10,70 of 132,5 of 5,2 of 2
L,Jonathan Martinez,0,52 of 118,44%,80 of 151,0 of 2,0%,0,0,1:20,36 of 96,9 of 15,7 of 7,50 of 116,1 of 1,1 of 1
W,Anthony Smith,0,11 of 20,55%,11 of 20,0 of 0,---,1,0,0:00,7 of 15,0 of 0,4 of 5,11 of 20,0 of 0,0 of 0
L,Vitor Petrino,0,10 of 22,45%,10 of 22,1 of 2,50%,0,0,0:14,4 of 14,4 of 6,2 of 2,10 of 22,0 of 0,0 of 0
W,Michel Pereira,0,6 of 10,60%,6 of 10,0 of 0,---,1,0,0:09,4 of 7,2 of 3,0 of 0,2 of 6,0 of 0,4 of 4
L,Ihor Potieria,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,0 of 0,1 of 2,1 of 1,2 of 3,0 of 0,0 of 0
L,Paul Craig,0,22 of 48,45%,22 of 50,0 of 6,0%,0,0,0:30,4 of 19,12 of 23,6 of 6,22 of 48,0 of 0,0 of 0
W,Caio Borralho,1,36 of 50,72%,43 of 57,0 of 0,---,0,0,0:19,29 of 41,3 of 5,4 of 4,35 of 49,1 of 1,0 of 0
L,Jack Shore,0,24 of 40,60%,31 of 47,0 of 2,0%,0,0,0:48,16 of 32,7 of 7,1 of 1,10 of 25,14 of 15,0 of 0
W,Joanderson Brito,0,30 of 56,53%,57 of 86,1 of 1,100%,0,0,5:09,4 of 29,4 of 4,22 of 23,20 of 46,10 of 10,0 of 0
L,Karolina Kowalkiewicz,0,42 of 111,37%,47 of 119,0 of 2,0%,0,0,0:00,17 of 73,15 of 22,10 of 16,40 of 108,2 of 3,0 of 0
W,Iasmin Lucindo,0,83 of 136,61%,91 of 144,2 of 6,33%,0,0,5:56,53 of 100,23 of 28,7 of 8,57 of 105,13 of 18,13 of 13
L,Elves Brener,0,48 of 91,52%,79 of 125,3 of 6,50%,0,2,2:55,24 of 61,7 of 12,17 of 18,35 of 75,2 of 3,11 of 13
